K_Tr_AB_nCi_3_M25(M8)_SS7_T_KA_a-e-v_MID,N3_TrB_AB_nCi_3_M26(M11)_MP2_T_LGA[0.0-1.0]_r-p_MID,P2_B_AB_nCi_2_NS3_H_T_LGP[2-4]_c-h_MAS,SD_B_AB_Ci(2.0;-2.0)_2_MP7_H_n_X_LGP[4-6]_e-p_MAS,GV[5]_K_Tr_AB_nCi_3_M22(M1)_NS1_T_KA_m-a-c_MID,AC[5]_K_TrC_AB_nCi_3_M21(M1)_NS4_C_KA_m_MID,AC[3]_N2_Tr_AB_nCi_3_M20(M13)_MP2_C_KA_r-p-c_MID,N3_B_AB_nCi_2_SS8_C_LGP[1]_r-c_MAS,Q2_B_AB_nCi_2_SS1_T_LGP[1;2;6]_c-p_MAS,GV[6]_N2_Tr_AB_nCi_3_M20(M13)_MP4_T_LG3L[1-2]_LGL[1-2]_v-p-c_MID,MX_B_AB_nCi_2_SS6_T_LGP[1;2;6]_r-c_MAS,pIC50
3.819074859,0.245324871,0.983273435,0.017916076,4.705329604,15.26236783,0.001686367,0.039384464,0.004904522,0.004948905,0.185177273,5.011292439
2.263253305,0.209008306,0.986820318,0.017813492,4.46103975,35.99999999,0.001974817,0.039557726,0.004469366,0.001656957,0.185027665,5.719156157
3.049136022,0.281938331,1.187727292,0.019252207,3.947321187,16.14281204,0.00270237,0.055227022,0.004833817,0.001118389,0.228740331,5.152170377
2.595826249,0.31711986,1.195643447,0.019124841,5.099185707,36,0.003499604,0.055430437,0.004413826,0.008749777,0.228841483,5.538101478
1.448931002,0.203067607,0.955778075,0.017898002,4.40339092,32.5622324,0.003946646,0.038041979,-0.004605451,0.009194603,0.185157321,4.769934449
-0.137066389,0.197371608,0.96184261,0.01779729,3.864485965,36,0.001824291,0.038110273,-0.001353717,0.001213306,0.185024797,6.005462896
1.022457224,0.266309017,1.17411896,0.019256202,3.768126648,17.75613557,0.002475357,0.054557114,-0.010029991,9.00E-04,0.228739563,4.335217043
-0.041350138,0.233744232,0.948617403,0.019100704,4.068337686,30.71404742,0.003016434,0.036233386,0.04398663,0.003704538,0.238296234,5.362010219
0.258168319,0.184617619,0.91815852,0.017201562,4.050168555,36.99999999,0.001686205,0.039607427,0.04796749,5.13E-04,0.185024797,6.102372909
0.14290397,0.236687117,1.129257842,0.018639273,3.990005551,18.30782008,0.002548256,0.055249129,-0.009236185,0.001091549,0.228739563,5.801342913
-0.857597991,0.700245434,1.230959989,0.024480611,2.781445442,0,0,0,0.015539834,0.004247582,0.156455097,4.392679039
-0.181479387,0.631779169,1.233913818,0.021670342,12.01498659,20.56959102,3.31E-06,-0.021767116,0.121323906,0.004171022,0.156329414,4.18591896
-0.331631552,0.642744092,1.233580308,0.022919087,13.43021397,12.45094875,8.21E-06,-0.01905177,0.067320006,0.004507348,0.190153353,4.116161193
-1.506220479,0.547065257,1.280070519,0.018614828,4.310549385,28,2.78E-05,0.069571306,0.088556699,0.004046281,0.277903389,5.607522887
-0.932595827,0.636291594,1.157337585,0.02331752,7.845712447,26,5.17E-07,0.001439988,0.088001933,0.004228358,0.183856351,4.801342913
-0.83766843,0.673146371,1.200944058,0.022995275,2.442464127,0,0,0,0.115131758,0.004243702,0.156327303,3.905092351
-0.726706227,0.68274011,1.213321603,0.02414404,13.83715626,0,0,0,0.019313466,0.004600097,0.202115779,3.786664898
-0.912165488,0.670953147,1.219283616,0.022793436,17.63510948,0,0,0,0.117078974,0.004231811,0.169497603,5.051220386
-0.929050359,0.670502103,1.221229925,0.02368856,1.805952031,0,0,0,0.040769345,0.0042669,0.184307346,4.801342913
-0.657345791,0.667116078,1.16578868,0.023734909,6.583907332,25,1.30E-07,-0.00153188,0.049138766,0.004209515,0.156285204,4.500312917
-0.638564187,0.678285549,1.134455379,0.023903382,3.529455295,0.693049877,1.72E-07,5.85E-04,0.015189593,0.004538347,0.156154329,4.333365038
-0.585358125,0.667916839,1.161369721,0.023767137,2.606148847,18.0229823,8.61E-08,-0.001309155,0.057359967,0.004244515,0.156070429,4.289459552
-0.94017127,0.664848149,1.284044131,0.022744554,16.08662519,0,0,0,0.123473031,0.00418203,0.191606104,6.07604397
-0.796167059,0.675445975,1.315093759,0.023919113,2.202078811,0,0,0,0.035820806,0.004540218,0.23483808,5.829371637
3.156227326,0.45805875,1.421533843,0.032994836,8.969252871,14.0240144,0.001579931,0.037454729,0.008220702,0.003680414,0.414567323,4.572722603
2.376761428,0.422332137,1.525917679,0.032023341,10.16686828,13.73445529,0.005514956,0.037017906,0.029734118,0.004449327,0.414497882,5.180315083
2.976523071,0.409106373,1.535133213,0.031822705,8.060026014,33,0.004336802,0.036790675,0.032609928,0.002423066,0.414570216,4.877433082
3.054422971,0.414538665,1.496512466,0.031876637,7.73829713,32.70633222,0.004296932,0.036997911,0.019945083,0.002436408,0.414569635,5.189695458
3.11532135,0.400563916,1.494786015,0.029590898,10.02770664,34.68988856,0.003805769,0.038256431,0.01673305,0.002464275,0.414566749,5.144697223
